 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |      morph. type      |   ang. size   |#bib|#not
1   |UGC 836                            |G  |01 18 59.4210922213 +44 17 11.036445854|0.038417    |     ~|16.0  |     ~|     ~|     ~|~              |E D ~                  |0.463 0.417    |   8|   0
26  |2MASX J17491527+6720125            |G  |17 49 15.271 +67 20 12.59              |0.025000    |     ~|16.5  |     ~|     ~|     ~|~              |E D ~                  |0.227 0.172    |   5|   0
27  |LEDA 61188                         |G  |17 58 13.8 +70 39 40                   |0.04817     |     ~|15.9  |     ~|     ~|     ~|~              |E D ~                  |0.309 0.173    |   6|   0
28  |UGC 10853                          |G  |17 22 33.245 +74 22 05.58              |0.04228     |     ~|15.3  |     ~|     ~|     ~|~              |E D ~                  |0.607 0.497    |  11|   0
29  |UGC 10949                          |G  |17 38 52.6691075174 +74 50 17.124586909|0.02493     |     ~|14.9  |     ~|     ~|     ~|~              |E D ~                  |0.517 0.372    |  10|   0
30  |2MASX J17413780+8307592            |G  |17 41 37.8317143186 +83 07 59.326579649|0.00626     |     ~|15.30 |     ~|     ~|     ~|~              |E D ~                  |0.250 0.230    |  15|   0
31  |UGC 3431                           |G  |06 19 21.7651859950 +76 48 41.814222026|0.008112    |     ~|13.6  |     ~|     ~|     ~|~              |E D ~                  |1.243 0.970    |  14|   0
32  |2MASX J17242110+5833409            |G  |17 24 21.1169281914 +58 33 41.238923712|0.02786     |     ~|15.5  |     ~|     ~|     ~|~              |E D ~                  |0.333 0.187    |  13|   0
33  |2MASX J17183733+6424512            |G  |17 18 37.339 +64 24 51.23              |0.090       |     ~|17.39 |16.15 |     ~|15.39 |~              |E D 2009ApJ...705.1099A|0.173 0.146    |   5|   1
34  |IC 1261                            |G  |17 23 26.045 +71 15 46.28              |0.046866    |     ~|14.9  |     ~|     ~|     ~|~              |E D ~                  |1.163 0.349    |  13|   0
35  |IC 1261W                           |G  |17 23 20.875 +71 15 51.58              |0.046640    |     ~|16    |     ~|     ~|     ~|~              |E D ~                  | 0.69  0.60    |   5|   0
36  |2MASX J16431359+7442250            |G  |16 43 13.597 +74 42 25.01              |0.04127     |     ~|15.10 |     ~|     ~|     ~|~              |E D ~                  |0.450 0.432    |  18|   0
37  |2MASX J16483474+7651200            |G  |16 48 34.746 +76 51 20.05              |0.041800    |     ~|16.6  |     ~|     ~|     ~|~              |E D ~                  |0.253 0.238    |   6|   0
38  |IC 449                             |G  |06 45 41.078 +71 20 37.80              |0.012692    |     ~|13.7  |     ~|     ~|     ~|~              |E D ~                  |0.890 0.730    |  17|   0
39  |2MASX J17121091+6154537            |G  |17 12 10.957 +61 54 53.52              |0.01282     |     ~|16.0  |     ~|     ~|     ~|~              |E D ~                  |0.213 0.124    |   7|   0
40  |2MASX J17022241+6109589            |G  |17 02 22.4197019266 +61 09 59.568851260|0.02347     |     ~|15.4  |     ~|     ~|     ~|~              |E D ~                  |0.343 0.268    |  10|   0
41  |LEDA 59268                         |G  |16 55 43.6 +69 01 08                   |0.025400    |     ~|17.3  |     ~|     ~|     ~|~              |E D ~                  | 0.25  0.20    |   7|   0
42  |2MASX J16274851+7357243            |G  |16 27 48.516 +73 57 24.33              |0.01816     |     ~|16.5  |     ~|     ~|     ~|~              |E D ~                  |0.313 0.201    |   6|   0
43  |2MASX J16292711+7402177            |G  |16 29 27.114 +74 02 17.77              |0.01786     |     ~|16.5  |     ~|     ~|     ~|~              |E D ~                  |0.270 0.194    |   7|   0
44  |UGC 9874                           |G  |15 27 15.081 +77 09 25.13              |0.017946    |     ~|14.60 |     ~|     ~|     ~|~              |E D ~                  |0.570 0.376    |  26|   0
45  |MCG+14-06-015                      |G  |13 06 49.2622500468 +82 51 59.832375473|0.037183    |     ~|15.70 |     ~|     ~|     ~|~              |E D ~                  |0.440 0.414    |  16|   0
46  |NGC 6258                           |G  |16 52 29.7904267467 +60 30 52.258697311|0.01042     |     ~|14.5  |     ~|     ~|     ~|~              |E D ~                  |0.430 0.378    |  18|   0
47  |2MASX J16102099+6750105            |G  |16 10 20.9839446730 +67 50 10.319492756|0.029767    |     ~|15.10 |     ~|     ~|     ~|~              |E D ~                  |0.427 0.256    |  24|   0
48  |2MASX J15595709+6959459            |G  |15 59 57.092 +69 59 45.94              |0.003300    |     ~|15.5  |     ~|     ~|     ~|~              |E D ~                  |0.177 0.163    |   8|   0
49  |IC 1154                            |G  |15 52 28.597 +70 22 30.52              |0.03811     |     ~|14.8  |     ~|     ~|     ~|~              |E D ~                  |0.610 0.464    |  10|   0
50  |2MASX J07083937+6118189            |G  |07 08 39.3395670382 +61 18 18.668690568|0.025384    |     ~|15.30 |     ~|     ~|     ~|~              |E D ~                  |0.330 0.304    |  16|   0
51  |2MASX J06534021+5458256            |G  |06 53 40.1908226759 +54 58 25.589346148|0.036252    |     ~|15.40 |     ~|     ~|     ~|~              |E D ~                  |0.503 0.433    |  19|   0
52  |2MASX J15232053+6941028            |G  |15 23 20.6674260300 +69 41 02.664972788|0.039941    |     ~|16.6  |     ~|     ~|     ~|~              |E D ~                  |0.343 0.199    |   9|   0
53  |Mrk 1398                           |G  |15 16 02.5977993907 +69 20 10.245918738|0.022512    |     ~|15.7  |     ~|     ~|     ~|~              |E D ~                  |0.243 0.195    |  10|   0
54  |2MASX J15075851+7247386            |G  |15 07 58.513 +72 47 38.64              |0.2136      |     ~|     ~|     ~|     ~|     ~|~              |E D ~                  |0.120 0.120    |   9|   0
55  |2MASX J12535724+7724502            |G  |12 53 57.1749642663 +77 24 50.589480202|0.03475     |     ~|16.0  |     ~|     ~|     ~|~              |E D ~                  |0.337 0.209    |   8|   0
56  |2MASX J12224824+7557559            |G  |12 22 48.245 +75 57 55.94              |0.0361      |     ~|16.2  |     ~|     ~|     ~|~              |E D ~                  |0.350 0.196    |   7|   0
57  |2MASX J11594627+7633281            |G  |11 59 46.274 +76 33 28.16              |0.0453      |     ~|16.7  |     ~|     ~|     ~|~              |E D ~                  |0.270 0.157    |   7|   0
58  |2MASX J08200515+6726102            |G  |08 20 05.0869485943 +67 26 09.961799457|0.027466    |     ~|17.5  |     ~|     ~|     ~|~              |E D ~                  |0.560 0.280    |   9|   0
59  |UGC 4001                           |G  |07 46 24.9097211870 +62 29 09.420552744|0.01950     |     ~|14.6  |     ~|     ~|     ~|~              |E D ~                  |0.707 0.438    |   9|   0
60  |MCG+10-23-039                      |G  |16 11 45.326 +60 09 52.71              |0.03181     |     ~|15.3  |     ~|     ~|     ~|~              |E D ~                  |0.473 0.341    |  13|   0
61  |2MASX J15193013+6730165            |G  |15 19 30.139 +67 30 16.59              |0.04162     |     ~|15.10 |     ~|     ~|     ~|~              |E D ~                  |0.493 0.316    |  21|   0
62  |MCG+13-09-031                      |G  |12 45 38.221 +74 28 53.50              |0.03155     |     ~|16.0  |     ~|     ~|     ~|~              |E D ~                  |0.430 0.327    |  11|   0
63  |NGC 2810                           |G  |09 22 04.5 +71 50 38                   |0.011771    |     ~|13.4  |     ~|     ~|     ~|~              |E D ~                  |0.950 0.836    |  42|   1
64  |2MASX J08215709+6631528            |G  |08 21 57.094 +66 31 52.80              |0.0370      |     ~|15.5  |     ~|     ~|     ~|~              |E D ~                  |0.520 0.354    |  11|   0
65  |UGC 4322                           |G  |08 20 01.7244319530 +62 49 50.449861514|0.02456     |     ~|15.0  |     ~|     ~|     ~|~              |E D ~                  |0.727 0.538    |  23|   0
66  |Z 298-8                            |G  |16 00 10.6 +58 23 08                   |0.0141      |     ~|17.5  |     ~|     ~|     ~|~              |E D ~                  | 0.74  0.41    |  17|   0
67  |2MASX J10591991+7150403            |G  |10 59 19.9219550490 +71 50 40.513774252|0.023086    |     ~|15.60 |     ~|     ~|     ~|~              |E D ~                  |0.300 0.270    |  15|   0
68  |MCG+11-11-026                      |G  |08 43 53.0081885889 +64 58 12.878688763|0.023176    |     ~|15.4  |     ~|     ~|     ~|~              |E D ~                  |0.490 0.461    |  11|   0
69  |2MASX J08425777+6436467            |G  |08 42 57.7525515458 +64 36 46.356112926|0.039125    |     ~|     ~|     ~|     ~|     ~|~              |E D ~                  |0.367 0.315    |   8|   0
70  |2MASX J08432094+6440338            |G  |08 43 20.9501362367 +64 40 34.110401211|0.03877     |     ~|     ~|     ~|     ~|     ~|~              |E D ~                  |0.360 0.252    |   6|   0
71  |MCG+11-11-028                      |G  |08 46 01.091 +64 07 18.47              |0.035957    |     ~|16    |     ~|     ~|     ~|~              |E D ~                  |0.480 0.451    |  10|   0
72  |2MASX J07460548+4850520            |G  |07 46 05.5158465382 +48 50 52.646232344|0.03276     |     ~|15.5  |     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.377 0.339    |  10|   0
73  |UGC 3844                           |G  |07 26 35.3961817882 +43 17 46.797166585|0.010441    |     ~|14.30 |     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.790 0.632    |  34|   0
74  |2MASX J15514106+4922421            |G  |15 51 41.0135641184 +49 22 42.262305564|0.03464     |     ~|     ~|     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.220 0.189    |   8|   0
75  |2MASX J11205745+6622533            |G  |11 20 57.4202622479 +66 22 53.669531847|0.05469     |     ~|     ~|     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.347 0.333    |   6|   0
76  |MCG+10-14-010                      |G  |09 27 47.7495282987 +59 08 08.483378802|0.03005     |     ~|15.7  |     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.393 0.299    |  11|   0
77  |2MASX J09151449+5812003            |G  |09 15 14.4574702272 +58 12 00.046532837|0.01092     |     ~|15.0  |     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.330 0.284    |  10|   0
78  |2MASX J14100367+5850267            |G  |14 10 03.7418367973 +58 50 26.814578482|0.0608      |     ~|18.0  |     ~|     ~|     ~|~              |E D ~                  |0.143 0.143    |   5|   0
79  |2MASX J08085880+4706389            |G  |08 08 58.806 +47 06 39.00              |0.21972     |     ~|     ~|17.11 |     ~|16.74 |~              |E D 2009ApJ...705.1099A|0.187 0.131    |   7|   1
80  |2MASX J15592559+4215488            |G  |15 59 25.5595308231 +42 15 48.417254683|0.060587    |     ~|     ~|     ~|     ~|     ~|~              |E D ~                  |0.343 0.275    |   4|   0
81  |2MASX J14101058+5707596            |G  |14 10 10.5172960886 +57 07 59.255141916|0.05082     |     ~|     ~|     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.330 0.271    |   6|   0
82  |2MASX J12363241+6029322            |G  |12 36 32.3797479977 +60 29 31.930376784|0.03808     |     ~|     ~|     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.313 0.232    |   7|   0
83  |2MASX J08362307+4328240            |G  |08 36 23.0425498016 +43 28 24.627723615|0.06652     |     ~|     ~|     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.337 0.283    |   8|   0
84  |2MASX J13254321+5213486            |G  |13 25 43.2242110260 +52 13 48.519429173|0.05633     |     ~|     ~|     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.300 0.228    |   4|   0
85  |2MASX J09121944+4622586            |G  |09 12 19.4291804269 +46 22 59.061513831|0.04069     |     ~|     ~|     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.317 0.253    |   6|   0
86  |MCG+09-19-049                      |G  |11 21 57.028 +52 57 46.03              |0.03353     |     ~|14.9  |     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.593 0.498    |  14|   0
87  |2MASX J12341649+4802035            |G  |12 34 16.5426603777 +48 02 03.536045546|0.04518     |     ~|     ~|     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.260 0.244    |   2|   0
88  |IC 4492                            |G  |14 42 33.8628468716 +37 27 08.418534855|0.01376     |     ~|15.6  |     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.353 0.325    |  12|   0
89  |MCG+08-25-001                      |G  |13 26 56.811 +44 49 15.92              |0.02789     |     ~|15.6  |     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.393 0.370    |  12|   0
90  |MCG+08-23-011                      |G  |12 20 59.509 +46 07 00.71              |0.01923     |     ~|16    |     ~|     ~|     ~|~              |E D ~                  |0.317 0.234    |   6|   0
91  |NGC 4001                           |G  |11 58 06.7857086458 +47 20 05.441101301|0.00000     |     ~|15.0  |     ~|     ~|     ~|~              |E D ~                  |0.373 0.261    |   6|   0
92  |2MASX J09025334+3554403            |G  |09 02 53.3689342807 +35 54 40.490318711|0.04329     |     ~|     ~|     ~|     ~|     ~|~              |E D 2010AJ....139.2525H|0.270 0.216    |   6|   0
93  |2E 707                             |G  |03 03 59.593 -12 05 59.67              |0.103892    |     ~|     ~|     ~|     ~|     ~|~              |E D ~                  |0.263 0.237    |   8|   0
94  |2MASX J03022754-1102564            |G  |03 02 27.5806040587 -11 02 56.183496813|0.02941     |     ~|16.34 |     ~|15.03 |     ~|~              |E D ~                  |0.353 0.191    |  11|   0
95  |LEDA 11380                         |G  |03 00 37.2 -10 48 41                   |0.033090    |     ~|     ~|     ~|     ~|     ~|~              |E D ~                  | 0.56  0.43    |   5|   0
96  |2dFGRS TGS317Z103                  |G  |03 04 49.1469797866 -28 02 44.864839330|0.041562    |     ~|16.133|     ~|14.809|     ~|~              |E D 1996MNRAS.278.1025L|0.297 0.285    |   9|   0
97  |2dFGRS TGS238Z025                  |G  |03 05 35.9416906217 -27 25 58.972722764|0.050412    |     ~|16.417|     ~|15.194|     ~|~              |E D ~                  |0.270 0.178    |   4|   0
98  |2dFGRS TGS317Z139                  |G  |03 03 23.36 -28 18 35.3                |0.0206      |     ~|16.573|     ~|15.815|     ~|~              |E D 1996MNRAS.278.1025L| 0.71  0.35    |   3|   0
99  |2MASX J03170662-2248229            |G  |03 17 06.6691297717 -22 48 23.574974431|0.093216    |     ~|17.05 |     ~|15.66 |     ~|~              |E D ~                  |0.237 0.156    |   3|   0
100 |2dFGRS TGS320Z081                  |G  |03 14 40.453 -28 55 56.41              |0.072737    |     ~|15.608|     ~|14.224|     ~|~              |E D 1996MNRAS.278.1025L|0.403 0.315    |   8|   0
101 |6dFGS gJ032208.0-273455            |G  |03 22 07.9741372140 -27 34 54.347546029|0.043226    |     ~|15.154|     ~|13.983|     ~|~              |E D 1996MNRAS.278.1025L|0.420 0.336    |   9|   0
102 |2MASX J03152575-3131130            |G  |03 15 25.756 -31 31 13.00              |0.069338    |     ~|15.99 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.367 0.301    |  10|   0
103 |2dFGRS TGS398Z174                  |G  |03 12 35.7198803639 -29 40 01.605942826|0.070044    |     ~|16.324|     ~|14.915|     ~|~              |E D 1996MNRAS.278.1025L|0.347 0.222    |   5|   0
104 |2MASX J03201788-3109501            |G  |03 20 17.889 -31 09 50.19              |0.06816     |     ~|16.03 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.370 0.274    |   6|   0
105 |2dFGRS TGS471Z118                  |G  |03 16 17.4841641378 -31 55 39.671094063|0.0649      |     ~|16.107|     ~|14.671|     ~|~              |E D 1996MNRAS.278.1025L|0.337 0.290    |   6|   0
106 |MCG+00-09-088                      |G  |03 29 34.5756001822 -01 32 27.915930987|0.026057    |     ~|15.7  |     ~|     ~|     ~|~              |E D ~                  |0.420 0.370    |  16|   0
107 |2MASX J03333742-2247450            |G  |03 33 37.4192758228 -22 47 44.713827949|0.04558     |     ~|16.26 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.473 0.161    |   4|   0
108 |2dFGRS TGS242Z140                  |G  |03 22 58.1541438700 -27 50 55.867319717|0.072737    |     ~|15.953|     ~|14.699|     ~|~              |E D 1996MNRAS.278.1025L|0.337 0.283    |   9|   0
109 |MCG-05-09-008                      |G  |03 29 55.7413225490 -28 46 03.787740828|0.0377      |     ~|14.94 |     ~|13.36 |     ~|~              |E D 1996MNRAS.278.1025L|1.620 0.389    |  27|   0
110 |2dFGRS TGS400Z094                  |G  |03 26 00.580 -29 33 24.21              |0.045687    |     ~|16.784|     ~|16.181|     ~|~              |E D ~                  |0.150 0.150    |   2|   0
111 |2MASX J03342649-2308062            |G  |03 34 26.495 -23 08 06.24              |0.04509     |     ~|15.99 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.430 0.232    |   8|   0
112 |2MASX J03440628-2339470            |G  |03 44 06.2465262795 -23 39 47.208772490|0.10451     |     ~|16.27 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.230 0.193    |   3|   0
113 |NGC 1403                           |G  |03 39 10.8424111716 -22 23 19.473655612|0.014250    |     ~|13.86 |     ~|12.62 |     ~|~              |E D ~                  |0.753 0.512    |  39|   0
114 |6dFGS gJ034127.1-222822            |G  |03 41 27.081 -22 28 22.07              |0.007509    |     ~|16.31 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.237 0.156    |   9|   1
115 |2MASX J03345367-2447268            |G  |03 34 53.6521628977 -24 47 26.990388337|0.00573     |     ~|16.43 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.190 0.148    |   3|   0
116 |2MASX J03370021-2358580            |G  |03 37 00.2190503928 -23 58 58.269553382|0.05550     |     ~|16.13 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.367 0.213    |   5|   0
117 |2MASX J03405688-2402461            |G  |03 40 56.9278519116 -24 02 46.229526703|0.060313    |     ~|16.51 |     ~|15.32 |     ~|~              |E D ~                  |0.260 0.182    |   3|   0
118 |6dFGS gJ033605.0-255903            |G  |03 36 04.989 -25 59 02.94              |0.00503     |     ~|16.38 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.187 0.138    |   3|   0
119 |2MASX J03423711-2634236            |G  |03 42 37.117 -26 34 23.64              |0.06699     |     ~|16.15 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.323 0.259    |   7|   0
120 |2MASX J03372260-3302350            |G  |03 37 22.601 -33 02 35.07              |0.039826    |     ~|     ~|     ~|     ~|     ~|~              |E D ~                  |0.153 0.153    |   8|   1
121 |MCG-03-10-046                      |G  |03 47 48.8937785902 -20 02 32.711082910|0.022589    |     ~|15.11 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.530 0.339    |  14|   0
122 |2MASX J03483928-2529491            |G  |03 48 39.2799122729 -25 29 48.786024610|0.06964     |     ~|16.20 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.297 0.261    |   6|   0
123 |2MASX J03510164-2555569            |G  |03 51 01.649 -25 55 56.98              |0.110583    |     ~|15.67 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.420 0.344    |   8|   0
124 |2MASX J04053544-0455523            |G  |04 05 35.442 -04 55 52.35              |0.07541     |     ~|     ~|     ~|     ~|16.45 |~              |E D 2009ApJ...705.1099A|0.153 0.153    |   7|   0
125 |2MASX J04050308-3132592            |G  |04 05 03.0844693326 -31 32 58.965555183|0.05873     |     ~|16.31 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.297 0.243    |   5|   0
126 |2MASX J04153905-1114443            |G  |04 15 39.0367211715 -11 14 44.877509452|0.13475     |     ~|17.64 |17.5  |16.22 |     ~|~              |E D ~                  |0.233 0.117    |   6|   1
127 |ESO 550-8                          |G  |04 07 36.346 -21 25 51.92              |0.005370    |     ~|14.70 |     ~|13.85 |     ~|~              |E D ~                  |0.327 0.222    |  15|   0
128 |2MASX J04162944-2503298            |G  |04 16 29.4768452020 -25 03 29.926379935|0.04192     |     ~|15.70 |     ~|     ~|     ~|~              |E D ~                  |0.300 0.246    |   8|   0
129 |2MASX J04094031-2954068            |G  |04 09 40.3299468986 -29 54 06.967293072|0.06068     |     ~|16.06 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.380 0.236    |   5|   0
130 |2MASX J04134213-3107430            |G  |04 13 42.136 -31 07 43.05              |0.07077     |     ~|16.30 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.377 0.218    |   6|   0
131 |2MASX J04142066-3858579            |G  |04 14 20.666 -38 58 57.93              |0.049841    |     ~|16.01 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.390 0.273    |  10|   0
132 |UGC 3021                           |G  |04 21 52.072 +36 07 37.33              |0.02081     |     ~|17    |     ~|     ~|     ~|~              |E D ~                  |1.313 0.762    |  11|   0
133 |2MASX J04291367-1807216            |G  |04 29 13.7000090987 -18 07 21.624708418|0.02966     |     ~|16.04 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.390 0.250    |  11|   0
134 |2MASX J04283087-1739233            |G  |04 28 30.872 -17 39 23.32              |0.03108     |     ~|16.25 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.360 0.331    |   8|   0
135 |2MASX J04294308-1745462            |G  |04 29 43.083 -17 45 46.23              |0.03049     |     ~|15.82 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.283 0.232    |   3|   0
136 |MCG-04-11-012                      |G  |04 23 45.0218721034 -23 04 57.741781794|0.014597    |     ~|15.20 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.480 0.365    |  10|   0
137 |2MASX J04225437-2748275            |G  |04 22 54.377 -27 48 27.54              |0.07485     |     ~|16.28 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.330 0.231    |   5|   0
138 |2MASX J04254921-2803510            |G  |04 25 49.2445736215 -28 03 51.373320599|0.04323     |     ~|16.29 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.293 0.182    |   3|   0
139 |2MASX J04233931-3111446            |G  |04 23 39.3002190933 -31 11 44.854541328|0.0586      |     ~|15.97 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.383 0.245    |   9|   0
140 |6dFGS gJ043046.6-203625            |G  |04 30 46.65 -20 36 26.0                |0.005412    |     ~|15.93 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L| 0.68  0.37    |   9|   0
141 |ESO 551-23                         |G  |04 38 31.060 -19 58 08.41              |0.00498     |     ~|15.12 |     ~|14.28 |     ~|~              |E D 1996MNRAS.278.1025L|0.453 0.263    |   6|   0
142 |2MASX J04395192-2009550            |G  |04 39 51.9299248908 -20 09 54.814856445|0.04947     |     ~|16.05 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.253 0.223    |   4|   0
143 |2MASX J04321345-1914328            |G  |04 32 13.4493268746 -19 14 32.527088181|0.03052     |     ~|16.01 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.473 0.275    |   8|   0
144 |2MASX J04402389-2150290            |G  |04 40 23.893 -21 50 29.00              |0.06478     |     ~|15.94 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.457 0.365    |   8|   0
145 |6dFGS gJ043732.0-215315            |G  |04 37 32.0429740593 -21 53 15.019885548|0.03083     |     ~|16.07 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.367 0.242    |   8|   0
